id,nombre,genero,desarrollador,publicador,fecha de estreno,exclusividad,ventas globales,rating
1,#Breakforcist Battle,Party,Lucid Sheep Games,Lucid Sheep Games,"April 12, 2018",No,,
2,#killallzombies,Survival,Beatshapers,Beatshapers,"January 24, 2019",No,,
3,1-2-Switch,Party,Nintendo EPD,Nintendo,"March 3, 2017",Si,,
4,10 Second Run Returns,Party,Blue Print,Blue Print,"January 25, 2018",No,,
5,12 is Better Than 6,Adventure,Ink Stains Games,HypeTrain Digital,"March 5, 2019",No,,
6,2064: Read Only Memories Integral,Adventure,MidBoss,MidBoss,"August 14, 2018",No,,
7,20XX,Platformer,Batterystaple Games,Batterystaple Games,"July 10, 2018",No,,
8,36 Fragments of Midnight,Platformer,Petite Games,JP: Rainy Frog,"September 14, 2017",No,,
9,3D MiniGolf,Sports,Joindots,Joindots,"February 1, 2018",No,,
10,60 Seconds!,Adventure,Robot Gentleman,Robot Gentleman,"December 18, 2017",No,,
11,6180 the moon,Platformer,Turtle Cream,Turtle Cream,"May 24, 2018",No,,
12,7 Billion Humans,Puzzle,Tomorrow Corporation,Tomorrow Corporation,"October 25, 2018",No,,
13,88 Heroes: 98 Heroes Edition,Platformer,Bitmap Bureau,Rising Star Games,"October 12, 2017",No,,
14,9 Monkeys of Shaolin,Beat 'em up,Sobaka Studio,Buka Entertainment,Q1 2020,No,,
15,99Moves,Arcade,EnjoyUp Games,JP: Starsign,"February 8, 2019",No,,
16,99Seconds,Arcade,EnjoyUp Games,JP: Starsign,"January 4, 2019",No,,
17,99Vidas,Beat 'em up,QUByte Interactive,QUByte Interactive,"November 27, 2018",No,,
18,A Dark Room,Adventure,Scratchwork Development,Circle Entertainment,"April 11, 2019",No,,
19,Access Denied,Puzzle,Stately Snail,Ratalaika Games,"February 8, 2019",No,,
20,Ace of Seafood,Shoot 'em up,Nussoft,Nussoft,"February 22, 2018",No,,
21,Aces of the Luftwaffe: Squadron,Shoot 'em up,HandyGames,JP: Worker Bee,"November 17, 2017",No,,
22,Achtung! Cthulhu Tactics,Tactical role-playing,Auroch Digital,Ripstone,"January 24, 2019",No,,
23,Acorn Tactics,Turn-based strategy,Tacs Games,Tacs Games,"December 7, 2017",No,,
24,The Adventure Pals,Platformer,Massive Monster,Armor Games,"April 3, 2018",No,,
25,Adventure Time: Pirates of the Enchiridion,Adventure,Climax Studios,NA: Outright Games,"July 17, 2018",No,,
26,Adventures of Bertram Fiddle Episode 1: A Dreadly Business,Adventure,Rumpus Animation,Chorus Worldwide,"March 29, 2018",No,,
27,Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,Adventure,Rumpus Animation,Chorus Worldwide,"November 22, 2018",No,,
28,Aegis Defenders,Tower defense,Guts Department,Humble Bundle,"February 8, 2018",No,,
29,AeternoBlade,Action-adventure,Corecell Technology,Corecell Technology,"February 1, 2018",No,,
30,Air Conflicts: Pacific Carriers,Simulation,Games Farm,Kalypso Media,"March 26, 2019",No,,
31,Air Conflicts: Secret Wars,Simulation,Games Farm,Kalypso Media,"March 26, 2019",No,,
