id,nombre,precio,stock,bodega,vendidos
1,#Breakforcist Battle,,,,
2,#killallzombies,,,,
3,1-2-Switch,,,,
4,10 Second Run Returns,,,,
5,12 is Better Than 6,,,,
6,2064: Read Only Memories Integral,,,,
7,20XX,,,,
8,36 Fragments of Midnight,,,,
9,3D MiniGolf,,,,
10,60 Seconds!,,,,
11,6180 the moon,,,,
12,7 Billion Humans,,,,
13,88 Heroes: 98 Heroes Edition,,,,
14,9 Monkeys of Shaolin,,,,
15,99Moves,,,,
16,99Seconds,,,,
17,99Vidas,,,,
18,A Dark Room,,,,
19,Access Denied,,,,
20,Ace of Seafood,,,,
21,Aces of the Luftwaffe: Squadron,,,,
22,Achtung! Cthulhu Tactics,,,,
23,Acorn Tactics,,,,
24,The Adventure Pals,,,,
25,Adventure Time: Pirates of the Enchiridion,,,,
26,Adventures of Bertram Fiddle Episode 1: A Dreadly Business,,,,
27,Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,,,,
28,Aegis Defenders,,,,
29,AeternoBlade,,,,
30,Air Conflicts: Pacific Carriers,,,,
31,Air Conflicts: Secret Wars,,,,
32,Air Hockey,,,,
33,Air Mail,,,,
34,AI: The Somnium Files,,,,
35,Alchemic Dungeons DX,,,,
36,Alien Cruise,,,,
37,Almost There: The Platformer,,,,
38,Alpha,,,,
39,Alteric,,,,
40,Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,,,,
41,Alwa’s Awakening,,,,
42,Ambition of the Slimes,,,,
43,American Ninja Warrior Challenge,,,,
44,Among the Sleep: Enhanced Edition,,,,
45,Ancient Rush 2,,,,
46,Angels of Death,,,,
47,Animal Rivals,,,,
48,Animated Jigsaws: Beautiful Japanese Scenery,,,,
49,Animated Jigsaws: Japanese Women,,,,
50,Animus: Stand Alone,,,,
51,Anniversary Collection: Arcade Classics,,,,
52,Another Lost Phone: Laura's Story,,,,
53,Another World,,,,
54,Antiquia Lost,,,,
55,Ape Out,,,,
56,Aperion Cyberstorm,,,,
57,Apocryph: An Old-School Shooter,,,,
58,Aqua Kitty UDX,,,,
59,Aqua Moto Racing Utopia,,,,
60,Aragami: Shadow Edition,,,,
61,Arena of Valor,,,,
62,Ark: Survival Evolved,,,,
63,Armello,,,,
64,Arms,,,,
65,Art of Balance,,,,
66,Assassin's Creed III Remastered,,,,
67,Assault Android Cactus+,,,,
68,Asterix & Obelix XXL 2: Mission: Las Vegum,,,,
69,Asterix & Obelix XXL 3: The Crystal Menhir,,,,
70,Astral Chain,,,,
71,Astro Bears Party,,,,
72,Astro Duel Deluxe,,,,
73,At Sundown: Shots in the Dark,,,,
74,Atari Flashback Classics,,,,
75,Atelier Lulua: The Scion of Arland,,,,
76,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,,,,
77,Atomik: RunGunJumpGun,,,,
78,Atomine,,,,
79,Attack on Titan 2,,,,
80,Attack on Titan 2: Final Battle,,,,
81,Away: Journey to the Unexpected,,,,
82,Awesome Pea,,,,
83,Axiom Verge,,,,
84,Ayakashi Koi Gikyoku: Forbidden Romance with Mysterious Spirit,,,,
85,Azkend 2: The World Beneath,,,,
86,Azure Reflections,,,,
87,Azure Saga: Pathfinder Deluxe Edition,,,,
